author,text,likes,published_at
@infinitelove6815,Two things never lie  the energy and body lannguage the only thing  that the man said that was true is birds of the same feather flock together everything else is a lie with a tad bit  and  very very very small amount of truth!,0,2025-08-01T05:52:40Z
@Mercy00-K,Captaiiiin...captain Morgan siku zote😂😂,0,2025-08-01T04:54:03Z
@millicentbarasa5162,I love this show walai😂😂❤❤❤ ona vile show imeisha nikama ndio inaanza,4,2025-08-01T02:05:19Z
@BeatriceWanjiku-u2p,Aka katakufa na hizo makali anakunywa..,1,2025-08-01T01:29:42Z
@BeatriceWanjiku-u2p,The wife is queit.. She respects whn he is talking,1,2025-08-01T01:27:44Z
@BeatriceWanjiku-u2p,Nimeona kufai,1,2025-08-01T01:07:12Z
@ayubndungu5457,Wezi,0,2025-07-31T23:35:38Z
@thatwasstupid1780,"Watching this at 1:48am na kesho 6 nko mboka , 😂😅mchele na kebab broke my back",1,2025-07-31T22:49:21Z
@ShamusMunene,Hapa saigon ako na kazi rahisi.,0,2025-07-31T22:12:47Z
@godfreyodida2665,They have found love,0,2025-07-31T22:03:34Z
@mercynyamao3634,Kama SI kartelo kufundisha obinna sheng hangeshikanisha hii interview..big up😊 kart😊elo,5,2025-07-31T21:29:08Z
@trendsn1308,"Wiiiiih.....This is the first ever obinna show live I've everv watched from the beniging to di end!!
Uyu ni leader walai!",1,2025-07-31T21:25:29Z
@godfreyodida2665,"Aroooooooooooo=Halloooo. How are you?
Kumi na nne supu=Beautiful 40 years of life
Kumi na nne Bora =The best of life @ 40
sherekta wakembeshe = We celebrate life fully.
Alongillo=We wish you a long life
mavitu yawa mmmh=Life is beautiful and wonderful 
Baba Baba yangu =l am enjoying it.
Yakudumu itadumu= For better! For worse
Mnauoa=My person
Mwatu=Three(Tatu)
Game ni ninenty= Good in horizontal engineering.
Top Striker=  🔥 in bed
Some words are lost in translation.They are our kids,it is us who brought them into this world.Sisi macho tu!",3,2025-07-31T20:49:18Z
@JaneWaweru-p2p4p,Partello nishikilie😂😂,1,2025-07-31T20:40:28Z
@MorrisWambua-i4t,This guy is somehow a comedian😂😂😂 KENYAN PRINCE AMEONA II..,0,2025-07-31T20:32:01Z
@vivianmusungu7412,I need a translator 😅,0,2025-07-31T20:18:03Z
@elvisnat4539,Hio kiatu amevaa ndio inani_nice😁,1,2025-07-31T20:08:19Z
@rahabwambui4725,Nani amecome kucomfirm both interviews piga like tuskie,1,2025-07-31T19:59:39Z
@xajimuxammad8283,Super drunk and high...weeeehhh😂,0,2025-07-31T19:25:12Z
@ephygitau9146,Talking when he needs to and saying the right things😂😂,0,2025-07-31T19:06:06Z
@jah9janine994,Wow the lady is kool..... Maji ikiwa kwa mtugi. So humble ❤,0,2025-07-31T18:52:14Z
@berylorowe9949,i think this is the interview of the year 😅,0,2025-07-31T18:22:49Z
@junereigns3959,This show made me get to the show officially.,0,2025-07-31T18:17:55Z
@harvestprayers,Anatafuna nini? Nisaidieni shosh mimi nimejikuta hapa kwa Obinna. I like Dee. Beautiful. Ametulia hana kiheeeeere..,1,2025-07-31T18:10:31Z
@mtnzioka,"Am tempted kusema huyu jamaa ni Mwizi, but respect",0,2025-07-31T17:47:31Z
@JimRosher,Lovely,0,2025-07-31T17:33:49Z
@loisemumbe4734,This lady looks old😢,0,2025-07-31T17:18:39Z
@gailmutuku7256,The finish with the mbogi was fire,0,2025-07-31T16:55:47Z
@k.o.joejoe,Unakuwa blamed na society na serikali pia haaikutambui.,1,2025-07-31T15:33:32Z
@GladysNyangara-r5d,"God, with them always,watu wakua na furaha tele tele,wakati wa mungu always the best 🎉🎉",0,2025-07-31T15:26:06Z
@k.o.joejoe,Guys could we just start a hashtag to make patelo a brand ambassador for captain Morgan. This family deserves a lot aki,13,2025-07-31T15:06:35Z
@k.o.joejoe,"This guy is bright bana. And Dee,jeez you're beautiful and I wish you all the best",2,2025-07-31T15:01:25Z
@k.o.joejoe,"Pray, hard work, focus",0,2025-07-31T14:46:54Z
@maaimani413,Mnisa ndo nini😮,0,2025-07-31T14:39:13Z
@ndindomwenyenchi8781,This guy is a leader,1,2025-07-31T14:37:42Z
@bibiabdallah1764,Ma morio nini jamani,0,2025-07-31T14:25:15Z
@anncate9041,This interview gave many the interest to view the tiktok videos like me KUDDOS,2,2025-07-31T14:05:10Z
@Lãwd-n1e,Big up made G,1,2025-07-31T13:42:22Z
@LucyMwaluma-c3j,Now this is what we call a couple. The lady understands her position so well. He's letting the guy be head . Loving every bit of it❤💯,11,2025-07-31T12:34:36Z
@harufasora4957,Hapo pa 500000000 nayo😂😂😂,1,2025-07-31T12:10:01Z
@petermaundu7258,bangi hii😂😂😂,1,2025-07-31T12:07:37Z
@alicenjoroge8529,Jamaa amelewa but nimewapenda sana wanajiamini,2,2025-07-31T12:06:08Z
@martinakula8421,Nah..he should should go out with someone around his age no offense.,1,2025-07-31T10:55:06Z
@AdityaMatumbo,Five hundred miiiiillion matako yenu fuckin 😅😂😂,1,2025-07-31T10:45:21Z
@AmandaWright-e7h,"Noana unarcissim hapa kwa Patello: Grandiose, kuexagerate vitu, na kucontrol hadi when Dee anaezakuongea. The wedding was also just about Patello; friends walikua wa Patello, family walikuwa wa Patello. Hakuna friends and family wa Dee? Halafu hiyo mbogi yake ndio flying monkeys, nikama wana muworship Patello.",1,2025-07-31T10:18:07Z
@collinskiptoo-y3b,Aki walai sisi tuko dunia gani 😅😅,1,2025-07-31T09:32:00Z
@benmaina5442,obina anapigwa stoppa vbaya🤣🤣🤣,0,2025-07-31T09:28:09Z
@Tiffah12,But huyu Dee ako 29years kweli😂😂,0,2025-07-31T09:16:05Z
@lmashua,Congratulations wishing you lots of happy and healthy life together. God first,0,2025-07-31T09:15:48Z
@Tiffah12,Kwani huyu Dee Hana meno 😂😂koz snaogopa kupanua mdomo akiongea,0,2025-07-31T09:08:17Z
@SumuelNjogona,❤❤,1,2025-07-31T08:43:02Z
@erastuskihara9559,"I am reliably informed that Diana’s late white husband was a billionaire.

I think as a country we have dangerously normalized this nonsense of young men dating older women and laughing it off as if it’s some kind of achievement. Look at this, 26-year-old VJ Patello proudly parading his romantic relationship with 56-year-old Diana, and they even have the audacity to brag about it.

Where exactly did we lose our values? Is this what we were taught? To admire our mothers instead of building our own families? To call it love when in reality it is pure moral decay?

Some will try to defend it as “love has no age,” but let’s stop lying to ourselves. This is not about love, it’s about the collapse of family values. When a society begins to celebrate such things instead of condemning them, then we should know we are in serious trouble.

Our young men were raised to build families, to lead with dignity, and to respect womanhood, not to turn motherhood into a fantasy. Surely, who bewitched this generation?",1,2025-07-31T08:27:48Z
@muhonjaissa9367,"1. Obinna is showing boundaries, which he often does when he cannot intimate his guests. 
2. The lady is awkwardly quiet. 
3. The guys is smart he knows how to evade these direct questions. 
4. The money being mentioned seems off. Feels like kuna pesa inaoshwa or something. 
5. This could be two things. Either genuine affection or serious business going on.",0,2025-07-31T07:31:06Z
@charlesodhiambo9293,"OBINNA : ugwas ni nini
PATELO : mauru,Baroda ,Ugwangii😂😂😂😂😂😂",2,2025-07-31T07:15:03Z
